"aqExample"
"20180701 - 20180731"
"SO4"
""
"IMPROVE"
"network","stat_id","lat","lon","row","col","ob_dates","ob_datee","ob_hour","month","SO4_ob","SO4_mod","POCode","state","county","stat_id_noPOC"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-04,2018-07-04,"00",7,3.0903,1.2219,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-07,2018-07-07,"00",7,0.23076,0.48471,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-10,2018-07-10,"00",7,1.0105,0.81093,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-13,2018-07-13,"00",7,0.35208,0.41186,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-16,2018-07-16,"00",7,1.5707,1.1745,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-19,2018-07-19,"00",7,0.28094,0.3788,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-22,2018-07-22,"00",7,0.87599,0.43265,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-25,2018-07-25,"00",7,0.8427,0.19995,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-28,2018-07-28,"00",7,1.4198,0.52885,"1","MA"," Barnstable","CACO1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-07,2018-07-07,"00",7,2.9428,1.0649,"1","AR"," Polk","CACR1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-10,2018-07-10,"00",7,2.3441,0.4218,"1","AR"," Polk","CACR1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-13,2018-07-13,"00",7,1.97,1.0559,"1","AR"," Polk","CACR1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-16,2018-07-16,"00",7,1.509,0.9015,"1","AR"," Polk","CACR1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-19,2018-07-19,"00",7,1.9753,1.3976,"1","AR"," Polk","CACR1"
"IMPROVE","CACR11",34.4544,-94.1429,"094","235",2018-07-22,2018-07-22,"00",7,0.68067,0.59634,"1","AR"," Polk","CACR1"
